i,seed,status,score,elapsed_sec,moves,pellets_total,pellets_eaten,completion_pct,ts
0,12345,LOSS,4000,9.218788,1638,102,85,83.33,1755947064
1,12346,LOSS,3920,9.226431,1641,102,77,75.49,1755947074
2,12347,LOSS,4240,12.800946,2286,102,99,97.06,1755947087
3,12348,LOSS,150,1.304904,236,102,15,14.71,1755947089
4,12349,WIN,2670,12.282588,2175,102,102,100.0,1755947101
0,12345,LOSS,4000,9.160961,1652,102,85,83.33,1755947121
1,12346,WIN,4270,16.690143,2985,102,102,100.0,1755947138
2,12347,LOSS,4240,12.596163,2277,102,99,97.06,1755947151
3,12348,LOSS,150,1.330801,237,102,15,14.71,1755947153
4,12349,WIN,2670,12.073127,2175,102,102,100.0,1755947166
0,12345,LOSS,510,9.477047,1706,102,46,45.1,1755947185
1,12346,LOSS,3900,9.637865,1716,102,75,73.53,1755947195
2,12347,DNF,970,12.922103,2292,102,77,75.49,1755947209
3,12348,DNF,150,1.354775,235,102,15,14.71,1755947211
4,12349,DNF,20,0.339237,40,102,2,1.96,1755947211
0,,LOSS,4050,10.013634,1809,102,85,83.33,1755947343
1,,LOSS,550,3.034853,546,102,30,29.41,1755947346
2,,LOSS,4230,15.933095,2877,102,98,96.08,1755947363
3,,LOSS,150,1.320992,237,102,15,14.71,1755947365
4,,WIN,1270,12.679512,2235,102,102,100.0,1755947378
0,,LOSS,4000,9.109624,1638,102,85,83.33,1755947452
1,,LOSS,60,0.578615,102,102,6,5.88,1755947453
2,,LOSS,110,1.166945,207,102,11,10.78,1755947454
3,,LOSS,150,1.328922,236,102,15,14.71,1755947456
4,,WIN,2670,12.160575,2175,102,102,100.0,1755947469
0,,LOSS,4000,9.045961,1638,102,85,83.33,1755947485
1,,LOSS,60,0.577504,102,102,6,5.88,1755947486
2,,LOSS,4240,12.809109,2286,102,99,97.06,1755947500
3,,LOSS,150,1.33684,237,102,15,14.71,1755947501
4,,WIN,1870,12.142549,2175,102,102,100.0,1755947514
0,,WIN,7470,16.770464,3002,102,102,100.0,1755947594
1,,WIN,4270,16.7669,3015,102,102,100.0,1755947611
2,,WIN,4270,13.675294,2460,102,102,100.0,1755947625
3,,LOSS,150,1.328256,237,102,15,14.71,1755947627
4,,WIN,1870,12.301094,2175,102,102,100.0,1755947640
0,,LOSS,4000,9.060538,1638,102,85,83.33,1755947706
1,,LOSS,3930,10.096305,1821,102,78,76.47,1755947716
2,,WIN,4270,13.657693,2460,102,102,100.0,1755947731
3,,LOSS,140,1.223415,221,102,14,13.73,1755947732
4,,WIN,1870,12.251942,2175,102,102,100.0,1755947745
5,,WIN,1870,12.992901,2295,102,102,100.0,1755947759
6,,WIN,1470,16.023324,2865,102,102,100.0,1755947775
7,,WIN,4270,12.370396,2220,102,102,100.0,1755947788
8,,WIN,1270,13.364085,2415,102,102,100.0,1755947802
9,,WIN,2670,12.986762,2295,102,102,100.0,1755947815
0,1226995546,LOSS,130,1.13697,206,102,13,12.75,1755947908
1,1424273067,LOSS,130,1.165047,206,102,13,12.75,1755947910
2,971433135,LOSS,4000,9.175981,1638,102,85,83.33,1755947919
0,5628,LOSS,7100,10.020676,1776,102,75,73.53,1755947959
1,880,LOSS,130,1.129182,206,102,13,12.75,1755947960
2,4255,LOSS,130,1.150392,206,102,13,12.75,1755947962
0,2373,WIN,7470,14.727132,2625,102,102,100.0,1755948021
1,4510,WIN,1470,15.811289,2865,102,102,100.0,1755948037
2,1893,LOSS,3570,5.103934,918,102,47,46.08,1755948043
0,9484,LOSS,150,1.308375,237,102,15,14.71,1755948050
1,4446,LOSS,130,1.16686,206,102,13,12.75,1755948052
2,9040,LOSS,4140,12.310026,2202,102,94,92.16,1755948065
3,5221,LOSS,110,1.151003,207,102,11,10.78,1755948066
4,6169,WIN,1270,13.1862,2355,102,102,100.0,1755948080
5,369,LOSS,60,0.589344,102,102,6,5.88,1755948081
6,1485,LOSS,130,1.154902,206,102,13,12.75,1755948083
7,2471,WIN,4270,12.087127,2175,102,102,100.0,1755948095
8,1079,LOSS,130,1.141284,206,102,13,12.75,1755948097
9,3709,LOSS,140,1.393126,252,102,14,13.73,1755948099
0,3520,WIN,1270,16.80702,2985,102,102,100.0,1755948148
1,6213,WIN,4220,14.705523,2655,102,102,100.0,1755948163
2,6829,LOSS,130,1.168725,206,102,13,12.75,1755948165
3,6622,LOSS,150,1.313179,237,102,15,14.71,1755948167
4,6519,LOSS,130,1.169051,206,102,13,12.75,1755948169
5,2282,WIN,2670,15.351291,2745,102,102,100.0,1755948184
6,6612,LOSS,1550,14.62939,2604,102,80,78.43,1755948200
7,4891,WIN,4220,14.885153,2655,102,102,100.0,1755948215
8,6971,WIN,1870,14.239608,2565,102,102,100.0,1755948230
9,1323,LOSS,130,1.192337,206,102,13,12.75,1755948231
0,5966,LOSS,2300,31.866296,5351,213,210,98.59,1755948296
1,5803,LOSS,2920,33.741237,6069,213,212,99.53,1755948331
2,5266,LOSS,2240,35.119116,6239,213,204,95.77,1755948366
3,1694,LOSS,170,1.734349,311,213,17,7.98,1755948369
4,9890,LOSS,170,1.724184,311,213,17,7.98,1755948371
5,4046,LOSS,1720,16.39637,2922,213,137,64.32,1755948387
6,3534,LOSS,2030,13.720983,2463,213,128,60.09,1755948402
7,8380,WIN,2530,46.011005,8280,213,213,100.0,1755948448
8,8095,WIN,2530,37.671699,6750,213,213,100.0,1755948486
9,4377,LOSS,2220,27.839031,4942,213,202,94.84,1755948515
0,8259,WIN,4270,15.333069,2745,102,102,100.0,1755948550
1,6545,LOSS,130,1.160104,206,102,13,12.75,1755948552
2,6394,LOSS,130,1.153696,206,102,13,12.75,1755948553
3,2747,DNF,90,0.863041,143,102,9,8.82,1755948555
4,8217,DNF,110,0.988261,166,102,11,10.78,1755948556
5,7333,DNF,20,0.303049,37,102,2,1.96,1755948557
6,2885,DNF,20,0.301948,36,102,2,1.96,1755948558
7,9771,DNF,30,0.394549,54,102,3,2.94,1755948558
8,3363,DNF,70,0.669639,105,102,7,6.86,1755948560
9,6404,DNF,30,0.345626,51,102,3,2.94,1755948560
0,2167,WIN,1270,16.691777,2970,102,102,100.0,1755948614
1,540,LOSS,130,1.139913,206,102,13,12.75,1755948615
2,7261,LOSS,130,1.155036,206,102,13,12.75,1755948617
3,6177,DNF,30,0.412044,58,102,3,2.94,1755948618
4,5311,DNF,70,0.712737,110,102,7,6.86,1755948619
5,2918,DNF,30,0.404718,54,102,3,2.94,1755948620
6,3437,DNF,20,0.333867,40,102,2,1.96,1755948621
7,8342,DNF,70,0.764032,123,102,7,6.86,1755948622
8,1543,DNF,30,0.367796,53,102,3,2.94,1755948623
9,2625,DNF,20,0.317871,42,102,2,1.96,1755948624
0,2544,LOSS,90,0.828668,147,102,9,8.82,1755948643
1,1244,LOSS,90,0.816928,147,102,9,8.82,1755948645
2,8304,DNF,560,5.619552,980,102,46,45.1,1755948651
0,828,LOSS,90,0.830146,147,102,9,8.82,1755948681
1,5373,LOSS,90,0.827736,147,102,9,8.82,1755948682
2,6281,LOSS,3790,6.613822,1179,102,69,67.65,1755948689
0,1348,WIN,4270,14.403658,2595,102,102,100.0,1755948732
1,3867,LOSS,90,0.83085,147,102,9,8.82,1755948733
2,9821,LOSS,90,0.813259,147,102,9,8.82,1755948734
0,2168,LOSS,60,0.575022,102,102,6,5.88,1755948744
1,4209,LOSS,3670,5.887944,1056,102,57,55.88,1755948750
2,6210,LOSS,3650,6.345444,1139,102,55,53.92,1755948757
0,5743,LOSS,150,1.342023,237,102,15,14.71,1755948773
1,7880,LOSS,150,1.329327,237,102,15,14.71,1755948775
2,8062,WIN,7420,19.135503,3435,102,102,100.0,1755948794
0,6237,WIN,1270,15.697881,2835,102,102,100.0,1755948815
1,1002,LOSS,60,0.563609,102,102,6,5.88,1755948816
2,2316,LOSS,130,1.16151,206,102,13,12.75,1755948818
0,3620,LOSS,150,1.333104,237,102,15,14.71,1755948823
1,3801,LOSS,100,1.055221,192,102,10,9.8,1755948825
2,1704,LOSS,130,1.160099,206,102,13,12.75,1755948826
0,521,LOSS,100,1.092283,192,102,10,9.8,1755948831
1,5803,LOSS,150,1.314913,237,102,15,14.71,1755948833
2,6882,WIN,2670,15.089973,2730,102,102,100.0,1755948848
0,3519,WIN,1870,20.82774,3735,102,102,100.0,1755948875
1,8917,LOSS,1210,5.874795,1056,102,51,50.0,1755948881
2,1664,LOSS,4150,13.820524,2489,102,95,93.14,1755948896
3,3317,LOSS,100,1.069009,192,102,10,9.8,1755948897
4,2876,LOSS,4120,13.989311,2474,102,97,95.1,1755948912
0,6310,LOSS,4180,16.823459,3006,102,98,96.08,1755948932
1,7284,LOSS,130,1.170538,206,102,13,12.75,1755948934
2,3588,LOSS,130,1.149824,206,102,13,12.75,1755948935
3,3525,WIN,2670,17.164609,3045,102,102,100.0,1755948953
4,813,WIN,1470,25.029604,4455,102,102,100.0,1755948979
0,4005,LOSS,100,1.077807,192,102,10,9.8,1755948988
1,6857,LOSS,130,1.163793,206,102,13,12.75,1755948989
2,7240,LOSS,100,1.078934,192,102,10,9.8,1755948991
3,4057,WIN,7470,23.319426,4155,102,102,100.0,1755949015
4,5711,LOSS,4180,14.333914,2544,102,98,96.08,1755949030
0,12345,LOSS,4000,9.205247,1638,102,85,83.33,1755949049
1,12346,WIN,4270,13.390471,2385,102,102,100.0,1755949063
2,12347,LOSS,4260,12.163341,2196,102,101,99.02,1755949076
3,12348,LOSS,150,1.346946,237,102,15,14.71,1755949078
4,12349,LOSS,1310,6.242538,1124,102,61,59.8,1755949084
0,12345,LOSS,4000,9.06035,1638,102,85,83.33,1755949107
1,12346,LOSS,60,0.565005,102,102,6,5.88,1755949108
2,12347,LOSS,4260,17.364232,3141,102,101,99.02,1755949126
3,12348,LOSS,150,1.304683,237,102,15,14.71,1755949128
4,12349,LOSS,1310,7.075592,1124,102,61,59.8,1755949135
0,12345,LOSS,7190,8.783958,1577,102,84,82.35,1755949199
1,12346,LOSS,60,0.569313,102,102,6,5.88,1755949200
2,12347,WIN,4270,22.87439,4080,102,102,100.0,1755949223
3,12348,LOSS,150,1.336374,237,102,15,14.71,1755949225
4,12349,LOSS,2110,6.215456,1124,102,61,59.8,1755949232
0,6333,LOSS,130,1.165765,206,102,13,12.75,1755949356
1,2292,LOSS,130,1.166987,206,102,13,12.75,1755949357
2,8269,LOSS,130,1.160393,206,102,13,12.75,1755949359
3,7996,DNF,450,1.979934,335,102,20,19.61,1755949361
4,7855,DNF,20,0.310175,35,102,2,1.96,1755949362
0,950,WIN,1270,13.604088,2415,102,102,100.0,1755949401
1,9696,LOSS,130,1.162081,206,102,13,12.75,1755949402
2,7748,WIN,2670,12.733802,2295,102,102,100.0,1755949416
3,3260,LOSS,4120,12.595064,2118,102,92,90.2,1755949429
4,2194,WIN,4270,16.693714,2850,102,102,100.0,1755949446
0,3093,WIN,4270,14.187875,2520,102,102,100.0,1755949478
1,4345,WIN,4270,12.31004,2235,102,102,100.0,1755949491
2,4506,WIN,1870,15.270751,2700,102,102,100.0,1755949507
3,2735,LOSS,130,1.148179,206,102,13,12.75,1755949509
4,8911,WIN,1270,12.497751,2250,102,102,100.0,1755949522
5,1785,WIN,2670,12.815493,2295,102,102,100.0,1755949535
6,7620,WIN,1870,12.714588,2295,102,102,100.0,1755949548
7,1808,LOSS,130,1.165577,206,102,13,12.75,1755949550
8,3811,WIN,1470,13.964014,2505,102,102,100.0,1755949564
9,7472,WIN,1270,13.625898,2445,102,102,100.0,1755949578
0,5776,LOSS,1820,23.096685,4147,213,167,78.4,1755949715
1,9746,LOSS,2460,33.153139,5870,213,206,96.71,1755949749
2,6137,LOSS,2080,28.578853,5115,213,188,88.26,1755949778
3,7565,LOSS,2590,24.274952,4250,213,179,84.04,1755949803
4,3475,LOSS,2300,32.415585,5782,213,210,98.59,1755949836
5,3792,LOSS,2300,37.721831,6725,213,210,98.59,1755949874
6,1908,LOSS,170,1.737824,311,213,17,7.98,1755949876
7,5357,LOSS,2350,28.156068,5025,213,195,91.55,1755949905
8,9522,LOSS,170,1.731814,311,213,17,7.98,1755949907
9,7634,LOSS,1220,12.477634,2235,213,112,52.58,1755949920
0,1814,DNF,410,3.698475,653,213,41,19.25,1755949940
1,6859,DNF,150,1.370001,235,213,15,7.04,1755949942
0,253,WIN,1220,19.511105,3465,102,102,100.0,1755949975
1,3987,LOSS,150,1.34702,237,102,15,14.71,1755949977
0,859,LOSS,13750,19.316678,3482,102,100,98.04,1755950003
1,3244,WIN,1170,14.621281,2640,102,102,100.0,1755950018
0,7617,WIN,4270,18.13715,3225,102,102,100.0,1755950074
1,8318,LOSS,130,1.153654,206,102,13,12.75,1755950076
2,9658,LOSS,4210,14.980607,2703,102,101,99.02,1755950091
3,1898,WIN,1270,19.714197,3525,102,102,100.0,1755950112
4,8491,LOSS,130,1.169294,206,102,13,12.75,1755950113
0,3620,LOSS,130,1.14846,206,103,13,12.62,1755950301
1,1084,WIN,1430,14.529978,2610,103,103,100.0,1755950316
2,9413,LOSS,130,1.137565,206,103,13,12.62,1755950318
3,711,LOSS,130,1.154923,206,103,13,12.62,1755950319
4,7795,WIN,4230,13.17791,2340,103,103,100.0,1755950333
0,185,WIN,1430,14.033028,2475,103,103,100.0,1755950350
1,6251,WIN,1230,13.008829,2325,103,103,100.0,1755950364
2,1000,WIN,1430,13.479096,2385,103,103,100.0,1755950378
3,5253,WIN,1830,14.869077,2670,103,103,100.0,1755950393
4,3861,LOSS,1660,11.438993,2039,103,91,88.35,1755950405
0,7712,WIN,2630,14.193479,2580,103,103,100.0,1755950440
1,2430,LOSS,2290,10.788532,1917,103,79,76.7,1755950451
2,2483,WIN,1230,14.549074,2610,103,103,100.0,1755950466
3,6790,LOSS,90,1.165474,206,103,9,8.74,1755950468
4,1928,LOSS,2610,15.521778,2754,103,101,98.06,1755950484
5,3462,LOSS,3970,10.880048,1962,103,87,84.47,1755950495
6,7693,LOSS,90,1.13488,206,103,9,8.74,1755950497
7,5560,WIN,4230,16.502717,2970,103,103,100.0,1755950514
8,8289,LOSS,90,1.154235,206,103,9,8.74,1755950515
9,9945,WIN,1230,14.720207,2625,103,103,100.0,1755950531
0,2562,LOSS,90,1.167848,206,103,9,8.74,1755950577
1,3990,WIN,1230,13.741698,2430,103,103,100.0,1755950591
2,7034,WIN,1230,14.536428,2610,103,103,100.0,1755950606
3,5148,LOSS,3800,7.292747,1302,103,70,67.96,1755950614
4,6447,LOSS,1130,13.231204,2369,103,83,80.58,1755950628
5,9745,WIN,1430,13.256704,2385,103,103,100.0,1755950642
6,4895,LOSS,90,1.147187,206,103,9,8.74,1755950644
7,9516,LOSS,90,0.804217,146,103,9,8.74,1755950645
8,7855,WIN,1830,18.1976,3225,103,103,100.0,1755950664
9,4978,LOSS,90,1.156953,206,103,9,8.74,1755950665
0,1231,WIN,1430,13.23461,2385,103,103,100.0,1755950819
1,1996,LOSS,90,1.161269,206,103,9,8.74,1755950821
2,9239,WIN,1230,15.244245,2745,103,103,100.0,1755950836
3,9597,DNF,910,7.86174,1372,103,81,78.64,1755950845
4,5046,DNF,20,0.364166,40,103,2,1.94,1755950846
5,9732,DNF,20,0.311614,36,103,2,1.94,1755950846
6,8832,DNF,20,0.272301,32,103,2,1.94,1755950847
7,5092,DNF,20,0.312323,38,103,2,1.94,1755950848
8,2894,DNF,20,0.309829,35,103,2,1.94,1755950849
9,4107,DNF,40,0.487782,72,103,4,3.88,1755950849
0,1322,LOSS,90,1.153103,206,103,9,8.74,1755950855
1,8917,DNF,430,3.411272,590,103,38,36.89,1755950859
2,6974,LOSS,90,1.147016,206,103,9,8.74,1755950860
3,5005,DNF,30,0.377166,50,103,3,2.91,1755950861
4,3998,DNF,20,0.312906,39,103,2,1.94,1755950862
0,5986,WIN,1230,13.87833,2460,103,103,100.0,1755950888
1,6362,LOSS,90,1.142024,206,103,9,8.74,1755950890
2,6214,LOSS,90,1.142898,206,103,9,8.74,1755950892
3,3864,LOSS,90,1.152023,206,103,9,8.74,1755950893
4,9797,LOSS,90,1.162438,206,103,9,8.74,1755950895
0,3806,WIN,1230,15.526416,2805,103,103,100.0,1755950948
1,2214,WIN,1830,15.804459,2805,103,103,100.0,1755950965
2,9850,WIN,4230,18.446789,3300,103,103,100.0,1755950984
3,9674,WIN,1230,15.965716,2835,103,103,100.0,1755951000
4,4352,LOSS,90,1.154291,206,103,9,8.74,1755951002
0,1845,WIN,1430,20.13335,3555,103,103,100.0,1756021541
1,8127,WIN,4230,17.830989,3150,103,103,100.0,1756021559
2,5619,LOSS,90,1.166541,206,103,9,8.74,1756021560
3,539,LOSS,2460,13.046391,2279,103,91,88.35,1756021574
4,3481,LOSS,90,1.176335,206,103,9,8.74,1756021575
0,4627,WIN,1830,15.825953,2805,103,103,100.0,1756021709
1,4564,LOSS,2620,17.382848,3084,103,102,99.03,1756021727
2,6394,WIN,1230,19.035729,3376,103,103,100.0,1756021746
3,7299,LOSS,90,1.164048,206,103,9,8.74,1756021748
4,662,WIN,1230,16.324855,2880,103,103,100.0,1756021764
0,9725,LOSS,4910,25.112622,4389,213,176,82.63,1756093090
1,6442,WIN,2330,34.052912,6000,213,213,100.0,1756093125
2,9227,LOSS,170,1.781224,311,213,17,7.98,1756093127
0,7416,LOSS,1410,12.007043,2114,103,71,68.93,1756093360
1,690,LOSS,90,1.176589,206,103,9,8.74,1756093362
2,8723,DNF,200,1.689911,281,103,15,14.56,1756093364
0,8592,LOSS,26520,20.316481,3603,103,92,89.32,1756093394
1,6695,LOSS,90,1.18206,206,103,9,8.74,1756093396
2,642,WIN,1830,16.96983,2955,103,103,100.0,1756093414
0,4450,LOSS,2290,9.804,1707,103,79,76.7,1756093432
1,1646,WIN,4230,16.316377,2895,103,103,100.0,1756093449
2,6711,LOSS,90,1.189153,206,103,9,8.74,1756093451
3,4243,WIN,4230,17.089594,3015,103,103,100.0,1756093469
4,1340,LOSS,950,3.162076,554,103,30,29.13,1756093473
0,9774,LOSS,26600,15.703439,2759,103,100,97.09,1756177862
1,4269,WIN,2630,15.151965,2640,103,103,100.0,1756177878
2,9187,LOSS,13660,12.844842,2265,103,91,88.35,1756177891
3,5970,WIN,1380,17.179532,3030,103,103,100.0,1756177909
4,7153,WIN,7430,19.904963,3510,103,103,100.0,1756177929
0,4584,LOSS,90,1.175566,206,103,9,8.74,1756178603
1,8190,LOSS,90,1.16435,206,103,9,8.74,1756178605
